﻿Type A,﻿type_x0,N,M,﻿Cardinality,﻿Noise STD,﻿Experiment,﻿Infeasible X-Recovery L0 Err,﻿Method
low_coherence,binary,160,80,30,0.15,2,0,QUBO L0
low_coherence,binary,160,80,30,0.15,3,0,QUBO L0
low_coherence,binary,160,80,30,0.15,4,0,QUBO L0
low_coherence,binary,160,80,30,0.15,5,0,QUBO L0
low_coherence,binary,160,80,30,0.15,6,0,QUBO L0
low_coherence,binary,160,80,30,0.15,7,0,QUBO L0
low_coherence,binary,160,80,30,0.15,8,0,QUBO L0
low_coherence,binary,160,80,30,0.15,9,0,QUBO L0
low_coherence,binary,160,80,30,0.15,10,0,QUBO L0
low_coherence,binary,160,80,30,0.15,11,0,QUBO L0
low_coherence,binary,160,80,30,0.15,12,0,QUBO L0
low_coherence,binary,160,80,30,0.15,13,0,QUBO L0
low_coherence,binary,160,80,30,0.15,14,0,QUBO L0
low_coherence,binary,160,80,30,0.15,15,0,QUBO L0
low_coherence,binary,160,80,30,0.15,16,0,QUBO L0
low_coherence,binary,160,80,30,0.15,17,0,QUBO L0
low_coherence,binary,160,80,30,0.15,18,0,QUBO L0
low_coherence,binary,160,80,30,0.15,19,0,QUBO L0
low_coherence,binary,160,80,30,0.2,6,1,QUBO L0
low_coherence,binary,160,80,30,0.2,7,1,QUBO L0
low_coherence,binary,160,80,30,0.2,8,0,QUBO L0
low_coherence,binary,160,80,30,0.2,9,0,QUBO L0
low_coherence,binary,160,80,30,0.2,10,0,QUBO L0
low_coherence,binary,160,80,30,0.2,11,0,QUBO L0
low_coherence,binary,160,80,30,0.2,12,1,QUBO L0
low_coherence,binary,160,80,30,0.2,13,0,QUBO L0
low_coherence,binary,160,80,30,0.2,14,0,QUBO L0
low_coherence,binary,160,80,30,0.2,15,0,QUBO L0
low_coherence,binary,160,80,30,0.2,16,0,QUBO L0
low_coherence,binary,160,80,30,0.2,17,1,QUBO L0
low_coherence,binary,160,80,30,0.2,18,1,QUBO L0
low_coherence,binary,160,80,30,0.2,19,0,QUBO L0
low_coherence,binary,160,80,20,0.1,0,0,QUBO L0
low_coherence,binary,160,80,20,0.1,1,0,QUBO L0
low_coherence,binary,160,80,20,0.1,2,0,QUBO L0
low_coherence,binary,160,80,20,0.1,3,0,QUBO L0
low_coherence,binary,160,80,20,0.1,4,0,QUBO L0
low_coherence,binary,160,80,20,0.1,5,0,QUBO L0
low_coherence,binary,160,80,20,0.1,6,0,QUBO L0
low_coherence,binary,160,80,20,0.1,7,0,QUBO L0
low_coherence,binary,160,80,20,0.1,8,0,QUBO L0
low_coherence,binary,160,80,20,0.1,9,0,QUBO L0
low_coherence,binary,160,80,20,0.1,10,0,QUBO L0
low_coherence,binary,160,80,20,0.1,11,0,QUBO L0
low_coherence,binary,160,80,20,0.1,12,0,QUBO L0
low_coherence,binary,160,80,20,0.1,13,0,QUBO L0
low_coherence,binary,160,80,20,0.1,14,0,QUBO L0
low_coherence,binary,160,80,20,0.1,15,0,QUBO L0
low_coherence,binary,160,80,20,0.1,16,0,QUBO L0
low_coherence,binary,160,80,20,0.1,17,0,QUBO L0
low_coherence,binary,160,80,20,0.1,18,0,QUBO L0
low_coherence,binary,160,80,20,0.1,19,0,QUBO L0
low_coherence,binary,160,80,20,0,0,0,QUBO L0
low_coherence,binary,160,80,20,0,1,0,QUBO L0
low_coherence,binary,160,80,20,0,2,0,QUBO L0
low_coherence,binary,160,80,20,0,3,0,QUBO L0
low_coherence,binary,160,80,20,0,4,0,QUBO L0
low_coherence,binary,160,80,20,0,5,0,QUBO L0
low_coherence,binary,160,80,20,0,6,0,QUBO L0
low_coherence,binary,160,80,20,0,7,0,QUBO L0
low_coherence,binary,160,80,20,0,8,0,QUBO L0
low_coherence,binary,160,80,20,0,9,0,QUBO L0
low_coherence,binary,160,80,20,0,10,0,QUBO L0
low_coherence,binary,160,80,20,0,11,0,QUBO L0
low_coherence,binary,160,80,20,0,12,0,QUBO L0
low_coherence,binary,160,80,20,0,13,0,QUBO L0
low_coherence,binary,160,80,20,0,14,0,QUBO L0
low_coherence,binary,160,80,20,0,15,0,QUBO L0
low_coherence,binary,160,80,20,0,16,0,QUBO L0
low_coherence,binary,160,80,20,0,17,0,QUBO L0
low_coherence,binary,160,80,20,0,18,0,QUBO L0
low_coherence,binary,160,80,20,0,19,0,QUBO L0
low_coherence,binary,160,80,30,0.1,0,0,QUBO L0
low_coherence,binary,160,80,30,0.1,1,0,QUBO L0
low_coherence,binary,160,80,30,0.1,2,0,QUBO L0
low_coherence,binary,160,80,30,0.1,3,0,QUBO L0
low_coherence,binary,160,80,30,0.1,4,0,QUBO L0
low_coherence,binary,160,80,30,0.1,5,0,QUBO L0
low_coherence,binary,160,80,30,0.1,6,0,QUBO L0
low_coherence,binary,160,80,30,0.1,7,0,QUBO L0
low_coherence,binary,160,80,30,0.1,8,0,QUBO L0
low_coherence,binary,160,80,30,0.1,9,0,QUBO L0
low_coherence,binary,160,80,30,0.1,10,0,QUBO L0
low_coherence,binary,160,80,30,0.1,11,0,QUBO L0
low_coherence,binary,160,80,30,0.1,12,0,QUBO L0
low_coherence,binary,160,80,30,0.1,13,0,QUBO L0
low_coherence,binary,160,80,30,0.1,14,0,QUBO L0
low_coherence,binary,160,80,30,0.1,15,0,QUBO L0
low_coherence,binary,160,80,30,0.1,16,0,QUBO L0
low_coherence,binary,160,80,30,0.1,17,0,QUBO L0
low_coherence,binary,160,80,30,0.1,18,0,QUBO L0
low_coherence,binary,160,80,30,0.1,19,0,QUBO L0
low_coherence,binary,160,160,30,0.1,0,0,QUBO L0
low_coherence,binary,160,160,30,0.1,1,0,QUBO L0
low_coherence,binary,160,160,30,0.1,2,0,QUBO L0
low_coherence,binary,160,160,30,0.1,3,0,QUBO L0
low_coherence,binary,160,160,30,0.1,4,0,QUBO L0
low_coherence,binary,160,160,30,0.1,5,0,QUBO L0
low_coherence,binary,160,160,30,0.1,6,0,QUBO L0
low_coherence,binary,160,160,30,0.1,7,0,QUBO L0
low_coherence,binary,160,160,30,0.1,8,0,QUBO L0
low_coherence,binary,160,160,30,0.1,9,0,QUBO L0
low_coherence,binary,160,160,30,0.1,10,0,QUBO L0
low_coherence,binary,160,160,30,0.1,11,0,QUBO L0
low_coherence,binary,160,160,30,0.1,12,0,QUBO L0
low_coherence,binary,160,160,30,0.1,13,0,QUBO L0
low_coherence,binary,160,160,30,0.1,14,0,QUBO L0
low_coherence,binary,160,160,30,0.1,15,0,QUBO L0
low_coherence,binary,160,160,30,0.1,16,0,QUBO L0
low_coherence,binary,160,160,30,0.1,17,0,QUBO L0
low_coherence,binary,160,160,30,0.1,18,0,QUBO L0
low_coherence,binary,160,160,30,0.1,19,0,QUBO L0
low_coherence,binary,160,80,10,0.05,0,0,QUBO L0
low_coherence,binary,160,80,10,0.05,1,0,QUBO L0
low_coherence,binary,160,80,10,0.05,2,0,QUBO L0
low_coherence,binary,160,80,10,0.05,3,0,QUBO L0
low_coherence,binary,160,80,10,0.05,4,0,QUBO L0
low_coherence,binary,160,80,10,0.05,5,0,QUBO L0
low_coherence,binary,160,80,10,0.05,6,0,QUBO L0
low_coherence,binary,160,80,10,0.05,7,0,QUBO L0
low_coherence,binary,160,80,10,0.05,8,0,QUBO L0
low_coherence,binary,160,80,10,0.05,9,0,QUBO L0
low_coherence,binary,160,80,10,0.05,10,0,QUBO L0
low_coherence,binary,160,80,10,0.05,11,0,QUBO L0
low_coherence,binary,160,80,10,0.05,12,0,QUBO L0
low_coherence,binary,160,80,10,0.05,13,0,QUBO L0
low_coherence,binary,160,80,10,0.05,14,0,QUBO L0
low_coherence,binary,160,80,10,0.05,15,0,QUBO L0
low_coherence,binary,160,80,10,0.05,16,0,QUBO L0
low_coherence,binary,160,80,10,0.05,17,0,QUBO L0
low_coherence,binary,160,80,10,0.05,18,0,QUBO L0
low_coherence,binary,160,80,10,0.05,19,0,QUBO L0
low_coherence,binary,160,80,10,0.15,1,0,QUBO L0
low_coherence,binary,160,80,10,0.15,2,0,QUBO L0
low_coherence,binary,160,80,10,0.15,3,0,QUBO L0
low_coherence,binary,160,80,10,0.15,4,0,QUBO L0
low_coherence,binary,160,80,10,0.15,5,0,QUBO L0
low_coherence,binary,160,80,10,0.15,6,0,QUBO L0
low_coherence,binary,160,80,10,0.15,7,0,QUBO L0
low_coherence,binary,160,80,10,0.15,8,0,QUBO L0
low_coherence,binary,160,80,10,0.15,9,0,QUBO L0
low_coherence,binary,160,80,10,0.15,10,0,QUBO L0
low_coherence,binary,160,80,10,0.15,11,0,QUBO L0
low_coherence,binary,160,80,10,0.15,12,0,QUBO L0
low_coherence,binary,160,80,10,0.15,13,0,QUBO L0
low_coherence,binary,160,80,10,0.15,14,0,QUBO L0
low_coherence,binary,160,80,10,0.15,15,0,QUBO L0
low_coherence,binary,160,80,10,0.15,16,0,QUBO L0
low_coherence,binary,160,80,10,0.15,17,0,QUBO L0
low_coherence,binary,160,80,10,0.15,18,0,QUBO L0
low_coherence,binary,160,80,10,0.15,19,0,QUBO L0
low_coherence,binary,160,80,10,0.2,1,0,QUBO L0
low_coherence,binary,160,80,10,0.2,2,0,QUBO L0
low_coherence,binary,160,80,10,0.2,3,1,QUBO L0
low_coherence,binary,160,80,10,0.2,4,0,QUBO L0
low_coherence,binary,160,80,10,0.2,5,0,QUBO L0
low_coherence,binary,160,80,10,0.2,6,0,QUBO L0
low_coherence,binary,160,80,10,0.2,7,0,QUBO L0
low_coherence,binary,160,80,10,0.2,8,0,QUBO L0
low_coherence,binary,160,80,10,0.2,9,0,QUBO L0
low_coherence,binary,160,80,10,0.2,10,0,QUBO L0
low_coherence,binary,160,80,10,0.2,11,2,QUBO L0
low_coherence,binary,160,80,10,0.2,12,0,QUBO L0
low_coherence,binary,160,80,10,0.2,13,0,QUBO L0
low_coherence,binary,160,80,10,0.2,14,0,QUBO L0
low_coherence,binary,160,80,10,0.2,15,0,QUBO L0
low_coherence,binary,160,80,10,0.2,16,0,QUBO L0
low_coherence,binary,160,80,10,0.2,17,2,QUBO L0
low_coherence,binary,160,80,10,0.2,18,1,QUBO L0
low_coherence,binary,160,80,10,0.2,19,0,QUBO L0
low_coherence,binary,160,80,10,0.1,0,0,QUBO L0
low_coherence,binary,160,80,10,0.1,1,0,QUBO L0
low_coherence,binary,160,80,10,0.1,2,0,QUBO L0
low_coherence,binary,160,80,10,0.1,3,0,QUBO L0
low_coherence,binary,160,80,10,0.1,4,0,QUBO L0
low_coherence,binary,160,80,10,0.1,5,0,QUBO L0
low_coherence,binary,160,80,10,0.1,6,0,QUBO L0
low_coherence,binary,160,80,10,0.1,7,0,QUBO L0
low_coherence,binary,160,80,10,0.1,8,0,QUBO L0
low_coherence,binary,160,80,10,0.1,9,0,QUBO L0
low_coherence,binary,160,80,10,0.1,10,0,QUBO L0
low_coherence,binary,160,80,10,0.1,11,0,QUBO L0
low_coherence,binary,160,80,10,0.1,12,0,QUBO L0
low_coherence,binary,160,80,10,0.1,13,0,QUBO L0
low_coherence,binary,160,80,10,0.1,14,0,QUBO L0
low_coherence,binary,160,80,10,0.1,15,0,QUBO L0
low_coherence,binary,160,80,10,0.1,16,0,QUBO L0
low_coherence,binary,160,80,10,0.1,17,0,QUBO L0
low_coherence,binary,160,80,10,0.1,18,0,QUBO L0
low_coherence,binary,160,80,10,0.1,19,0,QUBO L0
low_coherence,binary,160,80,40,0,0,0,QUBO L0
low_coherence,binary,160,80,40,0,1,0,QUBO L0
low_coherence,binary,160,80,40,0,2,0,QUBO L0
low_coherence,binary,160,80,40,0,3,0,QUBO L0
low_coherence,binary,160,80,40,0,4,0,QUBO L0
low_coherence,binary,160,80,40,0,5,0,QUBO L0
low_coherence,binary,160,80,40,0,6,0,QUBO L0
low_coherence,binary,160,80,40,0,7,0,QUBO L0
low_coherence,binary,160,80,40,0,8,0,QUBO L0
low_coherence,binary,160,80,40,0,9,0,QUBO L0
low_coherence,binary,160,80,40,0,10,0,QUBO L0
low_coherence,binary,160,80,40,0,11,0,QUBO L0
low_coherence,binary,160,80,40,0,12,0,QUBO L0
low_coherence,binary,160,80,40,0,13,0,QUBO L0
low_coherence,binary,160,80,40,0,14,0,QUBO L0
low_coherence,binary,160,80,40,0,15,0,QUBO L0
low_coherence,binary,160,80,40,0,16,0,QUBO L0
low_coherence,binary,160,80,40,0,17,0,QUBO L0
low_coherence,binary,160,80,40,0,18,0,QUBO L0
low_coherence,binary,160,80,40,0,19,0,QUBO L0
low_coherence,binary,160,100,30,0.1,0,0,QUBO L0
low_coherence,binary,160,100,30,0.1,1,0,QUBO L0
low_coherence,binary,160,100,30,0.1,2,0,QUBO L0
low_coherence,binary,160,100,30,0.1,3,0,QUBO L0
low_coherence,binary,160,100,30,0.1,4,0,QUBO L0
low_coherence,binary,160,100,30,0.1,5,0,QUBO L0
low_coherence,binary,160,100,30,0.1,6,0,QUBO L0
low_coherence,binary,160,100,30,0.1,7,0,QUBO L0
low_coherence,binary,160,100,30,0.1,8,0,QUBO L0
low_coherence,binary,160,100,30,0.1,9,0,QUBO L0
low_coherence,binary,160,100,30,0.1,10,0,QUBO L0
low_coherence,binary,160,100,30,0.1,11,0,QUBO L0
low_coherence,binary,160,100,30,0.1,12,0,QUBO L0
low_coherence,binary,160,100,30,0.1,13,0,QUBO L0
low_coherence,binary,160,100,30,0.1,14,0,QUBO L0
low_coherence,binary,160,100,30,0.1,15,0,QUBO L0
low_coherence,binary,160,100,30,0.1,16,0,QUBO L0
low_coherence,binary,160,100,30,0.1,17,0,QUBO L0
low_coherence,binary,160,100,30,0.1,18,0,QUBO L0
low_coherence,binary,160,100,30,0.1,19,0,QUBO L0
low_coherence,binary,160,80,20,0.05,0,0,QUBO L0
low_coherence,binary,160,80,20,0.05,1,0,QUBO L0
low_coherence,binary,160,80,20,0.05,2,0,QUBO L0
low_coherence,binary,160,80,20,0.05,3,0,QUBO L0
low_coherence,binary,160,80,20,0.05,4,0,QUBO L0
low_coherence,binary,160,80,20,0.05,5,0,QUBO L0
low_coherence,binary,160,80,20,0.05,6,0,QUBO L0
low_coherence,binary,160,80,20,0.05,7,0,QUBO L0
low_coherence,binary,160,80,20,0.05,8,0,QUBO L0
low_coherence,binary,160,80,20,0.05,9,0,QUBO L0
low_coherence,binary,160,80,20,0.05,10,0,QUBO L0
low_coherence,binary,160,80,20,0.05,11,0,QUBO L0
low_coherence,binary,160,80,20,0.05,12,0,QUBO L0
low_coherence,binary,160,80,20,0.05,13,0,QUBO L0
low_coherence,binary,160,80,20,0.05,14,0,QUBO L0
low_coherence,binary,160,80,20,0.05,15,0,QUBO L0
low_coherence,binary,160,80,20,0.05,16,0,QUBO L0
low_coherence,binary,160,80,20,0.05,17,0,QUBO L0
low_coherence,binary,160,80,20,0.05,18,0,QUBO L0
low_coherence,binary,160,80,20,0.05,19,0,QUBO L0
low_coherence,binary,160,80,20,0.15,0,0,QUBO L0
low_coherence,binary,160,80,20,0.15,1,0,QUBO L0
low_coherence,binary,160,80,20,0.15,2,0,QUBO L0
low_coherence,binary,160,80,20,0.15,3,1,QUBO L0
low_coherence,binary,160,80,20,0.15,4,0,QUBO L0
low_coherence,binary,160,80,20,0.15,5,0,QUBO L0
low_coherence,binary,160,80,20,0.15,6,0,QUBO L0
low_coherence,binary,160,80,20,0.15,7,0,QUBO L0
low_coherence,binary,160,80,20,0.15,8,0,QUBO L0
low_coherence,binary,160,80,20,0.15,9,0,QUBO L0
low_coherence,binary,160,80,20,0.15,10,0,QUBO L0
low_coherence,binary,160,80,20,0.15,11,0,QUBO L0
low_coherence,binary,160,80,20,0.15,12,0,QUBO L0
low_coherence,binary,160,80,20,0.15,13,0,QUBO L0
low_coherence,binary,160,80,20,0.15,14,0,QUBO L0
low_coherence,binary,160,80,20,0.15,15,0,QUBO L0
low_coherence,binary,160,80,20,0.15,16,0,QUBO L0
low_coherence,binary,160,80,20,0.15,17,0,QUBO L0
low_coherence,binary,160,80,20,0.15,18,0,QUBO L0
low_coherence,binary,160,80,20,0.15,19,0,QUBO L0
low_coherence,binary,160,80,20,0.2,0,1,QUBO L0
low_coherence,binary,160,80,20,0.2,1,1,QUBO L0
low_coherence,binary,160,80,20,0.2,2,0,QUBO L0
low_coherence,binary,160,80,20,0.2,10,0,QUBO L0
low_coherence,binary,160,80,20,0.2,11,0,QUBO L0
low_coherence,binary,160,80,20,0.2,12,1,QUBO L0
low_coherence,binary,160,80,20,0.2,13,0,QUBO L0
low_coherence,binary,160,80,20,0.2,14,0,QUBO L0
low_coherence,binary,160,80,20,0.2,15,0,QUBO L0
low_coherence,binary,160,80,20,0.2,16,0,QUBO L0
low_coherence,binary,160,80,20,0.2,17,5,QUBO L0
low_coherence,binary,160,80,20,0.2,18,1,QUBO L0
low_coherence,binary,160,80,20,0.2,19,0,QUBO L0
low_coherence,binary,160,80,20,0.2,3,2,QUBO L0
low_coherence,binary,160,80,20,0.2,4,1,QUBO L0
low_coherence,binary,160,80,20,0.2,5,2,QUBO L0
low_coherence,binary,160,80,20,0.2,6,0,QUBO L0
low_coherence,binary,160,80,20,0.2,7,0,QUBO L0
low_coherence,binary,160,80,20,0.2,8,0,QUBO L0
low_coherence,binary,160,80,20,0.2,9,0,QUBO L0
low_coherence,binary,160,80,10,0.2,0,0,QUBO L0
low_coherence,binary,160,80,10,0.15,0,0,QUBO L0
